课程,栏目,假名,汉字,释义,词性
"第九课","喜好表达","すき","好き","喜欢","形容词"
"第九课","喜好表达","だいすき","大好き","很喜欢","形容词"
"第九课","喜好表达","きらい","嫌い","讨厌","形容词"
"第九课","喜好表达","だいきらい","大嫌い","很讨厌","形容词"
"第九课","理由表达","どうして","どうして","为什么","疑问词"
"第九课","理由表达","から","から","因为","助词"
"第九课","能力表达","じょうず","上手","擅长","形容词"
"第九课","能力表达","へた","下手","不擅长","形容词"
"第九课","能力表达","できます","出来ます","会/能够","动词"
"第九课","运动爱好","スポーツ","スポーツ","运动","名词"
"第九课","运动爱好","やきゅう","野球","棒球","名词"
"第九课","运动爱好","サッカー","サッカー","足球","名词"
"第九课","运动爱好","テニス","テニス","网球","名词"
"第九课","运动爱好","ゴルフ","ゴルフ","高尔夫","名词"
"第九课","运动爱好","およぎ","泳ぎ","游泳","名词"
"第九课","运动爱好","じょぎんぐ","ジョギング","慢跑","名词"
"第九课","艺术活动","うた","歌","歌曲","名词"
"第九课","艺术活动","ダンス","ダンス","舞蹈","名词"
"第九课","艺术活动","りょうり","料理","料理","名词"
"第九课","艺术活动","え","絵","画","名词"
"第九课","艺术活动","ピアノ","ピアノ","钢琴","名词"
"第九课","艺术活动","ギター","ギター","吉他","名词"
"第九课","学习科目","べんきょう","勉強","学习","名词"
"第九课","学习科目","にほんご","日本語","日语","名词"
"第九课","学习科目","えいご","英語","英语","名词"
"第九课","学习科目","ちゅうごくご","中国語","中文","名词"
"第九课","学习科目","かんこくご","韓国語","韩语","名词"
"第九课","频度副词","よく","よく","经常","副词"
"第九课","频度副词","ときどき","時々","有时","副词"
"第九课","频度副词","あまり","あまり","不太","副词"
"第九课","频度副词","ぜんぜん","全然","完全不","副词"
