课程,栏目,假名,汉字,释义,词性
第六课,基本动作,たべます,食べます,吃,动词
第六课,基本动作,のみます,飲みます,喝，饮，服用,动词
第六课,日常动作,すいます,吸います,吸（烟）［たばこを～］,动词
第六课,基本动作,みます,見ます,看,动词
第六课,移动动词,ききます,聞きます,听,动词
第六课,基本动作,よみます,読みます,阅读,动词
第六课,移动动词,かきます,書きます,书写,动词
第六课,日常动作,かいます,買います,购买,动词
第六课,日常动作,とります,撮ります,拍（照），（摄影）［しゃしんを～］［写真を～］,动词
第六课,日常动作,します,します,做,动词
第六课,日常动作,あいます,会います,遇见，碰见（朋友）［ともだちに～］［友達に～］,动词
第六课,食物饮品,ごはん,ご飯,餐，米饭,名词
第六课,食物饮品,パン,パン,面包,名词
第六课,食物饮料,たまご,卵,鸡蛋,名词
第六课,食物饮料,にく,肉,肉,名词
第六课,食物饮料,さかな,魚,鱼,名词
第六课,食物饮料,やさい,野菜,蔬菜,名词
第六课,食物饮品,くだもの,果物,水果,名词
第六课,食物饮品,みず,水,水,名词
第六课,食物饮品,おちゃ,お茶,茶,名词
第六课,食物饮品,コーヒー,コーヒー,咖啡,名词
第六课,食物饮品,ビール,ビール,啤酒,名词
第六课,食物饮品,ジュース,ジュース,果汁,名词
第六课,食物饮品,ミルク,ミルク,牛奶,名词
第六课,娱乐活动,えいが,映画,电影,名词
第六课,电子产品,テレビ,テレビ,电视,名词
第六课,电子产品,ラジオ,ラジオ,收音机,名词
第六课,娱乐活动,おんがく,音楽,音乐,名词
第六课,娱乐活动,しゃしん,写真,照片,名词
第六课,助词,を,を,(宾语助词),助词
第六课,助词,で,で,在、用,助词
第六课,疑问词,なに,何,什么,疑问词
第六课,疑问词,いっしょに,一緒に,一起,副词
第06课,数量词,あさごはん,朝ごはん,早餐,数词
第06课,数量词,ひるごはん,昼ごはん,中餐,数词
第06课,数量词,ばんごはん,晩ごはん,晚餐,数词
第06课,食物饮品,こうちゃ,紅茶,红茶,名词
第06课,补充词汇,ぎゅうにゅう,牛乳,牛奶（ミルク）,动词(1型)
第06课,时间日期,［お］さけ,［お］酒,酒类，日本酒,时间词
第06课,电子产品,ビデオ,ビデオ,录影带，录影机,外来词
第06课,补充词汇,CD,CD,CD，雷射唱盘,名词
第06课,补充词汇,てがみ,手紙,信,名词
第06课,补充词汇,レポート,レポート,报告,外来词
第06课,补充词汇,みせ,店,商店,名词
第06课,场所地点,レストラン,レストラン,餐厅,外来词
第06课,数量词,にわ,庭,院子,数词
第06课,形容词,しゅくだい,宿題,作业（～をします：做作业）,い形容词
第06课,补充词汇,テニス,テニス,网球（～をします：打网球）,外来词
第06课,补充词汇,サッカー,サッカー,足球（～をします：踢足球）,外来词
第06课,补充词汇,［お］はなみ,［お］花見,赏花（～をします：去赏花）,名词
第06课,补充词汇,ちょっと,ちょっと,一下子，稍,方位词
第06课,补充词汇,いつも,いつも,总是,名词
第06课,时间日期,ときどき,時々,时常，有时,时间词
第06课,补充词汇,それから,それから,然后,方位词
第06课,补充词汇,ええ,ええ,是，嗯（表赞同）,名词
第06课,补充词汇,いいですね。,いいですね。,好呀。,名词
第06课,时间日期,わかりました。,わかりました。,我明白了。/我知道了。,代词
