课程,栏目,假名,汉字,释义,词性
"第四课","星期","なんようび","何曜日","星期几","名词"
"第四课","星期","げつようび","月曜日","星期一","名词"
"第四课","星期","かようび","火曜日","星期二","名词"
"第四课","星期","すいようび","水曜日","星期三","名词"
"第四课","星期","もくようび","木曜日","星期四","名词"
"第四课","星期","きんようび","金曜日","星期五","名词"
"第四课","星期","どようび","土曜日","星期六","名词"
"第四课","星期","にちようび","日曜日","星期日","名词"
"第四课","时间概念（天）","きのう","昨日","昨天","名词"
"第四课","时间概念（天）","おととい","一昨日","前天","名词"
"第四课","时间概念（天）","きょう","今日","今天","名词"
"第四课","时间概念（天）","あした","明日","明天","名词"
"第四课","时间概念（天）","あさって","明後日","后天","名词"
"第四课","时间概念（一天内）","ごぜん","午前","上午","名词"
"第四课","时间概念（一天内）","ごご","午後","下午","名词"
"第四课","时间概念（一天内）","あさ","朝","早晨","名词"
"第四课","时间概念（一天内）","ばん","晩","晚上","名词"
"第四课","时间概念（一天内）","ひる","昼","白天","名词"
"第四课","日常动作","おきます","起きます","起床","动词"
"第四课","日常动作","ねます","寝ます","睡觉","动词"
"第四课","日常动作","たべます","食べます","吃","动词"
"第四课","日常动作","のみます","飲みます","喝","动词"
"第四课","移动动作","いきます","行きます","去","动词"
"第四课","移动动作","きます","来ます","来","动词"
"第四课","移动动作","かえります","帰ります","回来","动词"
"第四课","场所与物品","がっこう","学校","学校","名词"
"第四课","场所与物品","いえ","家","家","名词"
"第四课","场所与物品","かいしゃ","会社","公司","名词"
"第四课","场所与物品","みず","水","水","名词"
"第四课","场所与物品","ごはん","ご飯","米饭","名词"
"第四课","场所与物品","ほん","本","书","名词"
"第四课","场所与物品","でんしゃ","電車","电车","名词"
